Meat,Type,Sandwich,Calories,TotalFat_g,Sodium_mg,CaloriesFromFat,SaturatedFat_g,TransFat_g,Cholesterol_mg,Carbohydrates_g,Fiber_g,Sugars_g,Protein_g,Restaurant
Beef,Burger,Double Quarter Pounder® with Cheese,740,42,1380,380,19.0,3.0,155,40,3,9,48,McDonald's
Fish,Burger,Filet-O-Fish®,380,18,640,170,4.0,0.0,40,38,2,5,15,McDonald's
Beef,Burger,Grilled Onion Cheddar Burger,310,13,660,120,6.0,0.5,40,33,2,7,15,McDonald's
Beef,Burger,Hamburger,250,9,520,80,4.0,1.0,25,31,2,6,12,McDonald's
Beef,Burger,Jalapeño Double,430,23,1030,210,9.0,1.0,80,35,2,6,22,McDonald's
Chicken,Burger,McChicken,360,16,830,150,3.0,0.0,35,40,2,5,14,McDonald's
Beef,Burger,McDouble,390,19,920,170,8.0,1.0,65,33,2,7,22,McDonald's
Beef,Burger,McRib,500,26,980,240,10.0,0.0,70,44,3,11,22,McDonald's
Chicken,Sandwich,Premium Crispy Chicken Classic Sandwich,510,22,990,200,4.0,0.0,45,56,3,10,24,McDonald's
Chicken,Sandwich,Premium Crispy Chicken Club Sandwich,620,29,1200,260,7.0,0.0,70,57,3,11,31,McDonald's
Chicken,Sandwich,Premium Crispy Chicken Ranch BLT Sandwich,540,23,1170,210,5.0,0.0,55,56,3,11,27,McDonald's
Chicken,Sandwich,Premium Grilled Chicken Classic Sandwich,350,9,820,80,2.0,0.0,65,42,3,8,28,McDonald's
Chicken,Sandwich,Premium Grilled Chicken Club Sandwich,460,16,1030,150,6.0,0.0,90,43,3,9,35,McDonald's
Chicken,Sandwich,Premium Grilled Chicken Ranch BLT Sandwich,380,10,1000,90,3.0,0.0,75,42,3,9,31,McDonald's
Chicken,Wrap,Premium McWrap Chicken & Bacon (Crispy),600,30,1420,270,8.0,0.5,70,54,3,7,30,McDonald's
Chicken,Wrap,Premium McWrap Chicken & Bacon (Grilled),440,16,1250,150,6.0,0.0,90,40,3,5,33,McDonald's
Chicken,Wrap,Premium McWrap Chicken & Ranch (Crispy),590,29,1300,260,8.0,0.5,60,56,3,8,26,McDonald's
Chicken,Wrap,Premium McWrap Chicken & Ranch (Grilled),430,16,1130,140,6.0,0.0,80,42,3,6,30,McDonald's
Chicken,Wrap,Premium McWrap Chicken Sweet Chili (Crispy),520,22,1200,200,4.5,0.0,45,58,3,12,23,McDonald's
Chicken,Wrap,Premium McWrap Chicken Sweet Chili (Grilled),360,9,1030,80,2.5,0.0,65,44,2,10,27,McDonald's
Chicken,Wrap,Premium McWrap Southwest Chicken (Crispy),680,33,1470,300,8.0,0.5,65,68,4,12,27,McDonald's
Chicken,Wrap,Premium McWrap Southwest Chicken (Grilled),520,20,1300,180,6.0,0.5,80,54,4,10,31,McDonald's
Beef,Burger,Quarter Pounder Bacon & Cheese,600,29,1440,260,13.0,1.5,105,48,3,12,37,McDonald's
Beef,Burger,Quarter Pounder Bacon Habanero Ranch,610,31,1180,280,13.0,1.5,105,46,3,10,37,McDonald's
Beef,Burger,Quarter Pounder Deluxe,540,27,960,250,11.0,1.5,85,45,3,9,29,McDonald's
Beef,Burger,Quarter Pounder® with Cheese,510,26,1190,230,12.0,2.0,90,40,3,9,29,McDonald's
Chicken,Sandwich,Southern Style Crispy Chicken Sandwich,420,19,930,170,3.0,0.0,45,43,2,7,21,McDonald's
Beef,Burger,HATCH GREEN CHILE CHEESEBURGER,710,43,1120,380,17.0,2.0,120,44,2,7,35,Sonic
Beef,Burger,JALAPEÑO BURGER,640,37,930,330,14.0,2.0,100,42,2,6,31,Sonic
